Rank,Country,CountryUrlRevenue
"1","United States","/wiki/United_States","5,731,627"
"2","China","/wiki/China","3,177,255"
"3","Japan","/wiki/Japan","1,696,000"
"4","Germany","/wiki/Germany","1,507,000"
"5","France","/wiki/France","1,288,000"
"6","United Kingdom","/wiki/United_Kingdom","996,300"
"7","Italy","/wiki/Italy","842,500"
"8","Brazil","/wiki/Brazil","632,000"
"9","Canada","/wiki/Canada","594,700"
"10","India","/wiki/India","476,560"
"11","Spain","/wiki/Spain","461,300"
"12","Australia","/wiki/Australia","420,500"
"13","Netherlands","/wiki/Netherlands","322,600"
"14","Korea, South","/wiki/South_Korea","297,300"
"15","Sweden","/wiki/Sweden","248,300"
"16","Belgium","/wiki/Belgium","232,300"
"17","Mexico","/wiki/Mexico","224,300"
"18","Switzerland","/wiki/Switzerland","215,900"
"19","Norway","/wiki/Norway","199,800"
"20","Austria","/wiki/Austria","187,300"
"21","Russia","/wiki/Russia","186,500"
"22","Turkey","/wiki/Turkey","184,300"
"23","Denmark","/wiki/Denmark","156,900"
"24","Saudi Arabia","/wiki/Saudi_Arabia","149,700"
"25","Indonesia","/wiki/Indonesia","128,700"
"26","Finland","/wiki/Finland","127,600"
"27","Argentina","/wiki/Argentina","115,900"
"28","Venezuela","/wiki/Venezuela","95,620"
"29","Greece","/wiki/Greece","93,340"
"30","United Arab Emirates","/wiki/United_Arab_Emirates","90,130"
"31","Portugal","/wiki/Portugal","87,260"
"32","Taiwan","/wiki/Taiwan","80,800"
"33","Israel","/wiki/Israel","80,750"
"34","Ireland","/wiki/Republic_of_Ireland","78,470"
"35","Thailand","/wiki/Thailand","76,690"
"36","South Africa","/wiki/South_Africa","76,620"
"37","Colombia","/wiki/Colombia","76,060"
"38","Czechia","/wiki/Czech_Republic","73,740"
"39","Poland","/wiki/Poland","73,400"
"40","New Zealand","/wiki/New_Zealand","67,610"
"41","Iran","/wiki/Iran","65,870"
"42","Peru","/wiki/Peru","60,840"
"43","Egypt","/wiki/Egypt","60,090"
"44","Hong Kong","/wiki/Hong_Kong","59,090"
"45","Hungary","/wiki/Hungary","57,320"
"46","Romania","/wiki/Romania","56,840"
"47","Malaysia","/wiki/Malaysia","52,660"
"48","Iraq","/wiki/Iraq","52,430"
"49","Cuba","/wiki/Cuba","52,370"
"50","Chile","/wiki/Chile","49,520"
"51","Vietnam","/wiki/Vietnam","48,040"
"52","Kuwait","/wiki/Kuwait","47,140"
"53","Singapore","/wiki/Singapore","46,860"
"54","Philippines","/wiki/Philippines",""
"55","Algeria","/wiki/Algeria","42,690"
"56","Pakistan","/wiki/Pakistan","41,770"
"57","Qatar","/wiki/Qatar","41,710"
"58","Slovakia","/wiki/Slovakia","34,870"
"59","Ecuador","/wiki/Ecuador","30,900"
"60","Ukraine","/wiki/Ukraine","27,800"
"61","Angola","/wiki/Angola","27,270"
"62","Luxembourg","/wiki/Luxembourg","25,850"
"63","Morocco","/wiki/Morocco","25,220"
"64","Bangladesh","/wiki/Bangladesh","23,780"
"65","Kazakhstan","/wiki/Kazakhstan","23,350"
"66","Croatia","/wiki/Croatia","21,470"
"67","Belarus","/wiki/Belarus","21,210"
"68","Uzbekistan","/wiki/Uzbekistan","21,090"
"69","Oman","/wiki/Oman","20,260"
"70","Slovenia","/wiki/Slovenia","19,320"
"71","Bulgaria","/wiki/Bulgaria","18,440"
"72","Serbia","/wiki/Serbia","16,200"
"73","Bolivia","/wiki/Bolivia","15,440"
"74","Lithuania","/wiki/Lithuania","14,680"
"75","Uruguay","/wiki/Uruguay","14,290"
"76","Kenya","/wiki/Kenya","12,890"
"77","Macau","/wiki/Macau","12,120"
"78","Dominican Republic","/wiki/Dominican_Republic","11,700"
"79","Panama","/wiki/Panama","11,700"
"80","Nigeria","/wiki/Nigeria","11,400"
"81","Azerbaijan","/wiki/Azerbaijan","29,340"
"82","Sri Lanka","/wiki/Sri_Lanka","10,980"
"83","Iceland","/wiki/Iceland","10,350"
"84","Ethiopia","/wiki/Ethiopia","10,070"
"85","Lebanon","/wiki/Lebanon","9,953"
"86","Tunisia","/wiki/Tunisia","9,882"
"87","Latvia","/wiki/Latvia","9,766"
"88","Estonia","/wiki/Estonia","9,559"
"89","Puerto Rico","/wiki/Puerto_Rico","9,086"
"90","Ghana","/wiki/Ghana","9,068"
"91","Burma","/wiki/Myanmar","8,944"
"92","Jordan","/wiki/Jordan","8,649"
"93","Costa Rica","/wiki/Costa_Rica","8,115"
"94","Bosnia and Herzegovina","/wiki/Bosnia_and_Herzegovina","7,681"
"95","Cyprus","/wiki/Cyprus","7,588"
"96","Guatemala","/wiki/Guatemala","7,390"
"97","Trinidad and Tobago","/wiki/Trinidad_and_Tobago","7,311"
"98","Sudan","/wiki/Sudan","7,301"
"99","Cote d'Ivoire","/wiki/Ivory_Coast","6,839"
"100","Tanzania","/wiki/Tanzania","6,257"
"101","Libya","/wiki/Libya","5,792"
"102","Congo, Democratic Republic of the","/wiki/Democratic_Republic_of_the_Congo","5,448"
"103","El Salvador","/wiki/El_Salvador","5,443"
"104","Paraguay","/wiki/Paraguay","5,231"
"105","Nepal","/wiki/Nepal","4,848"
"106","Cameroon","/wiki/Cameroon","4,765"
"107","Botswana","/wiki/Botswana","4,690"
"108","Bahrain","/wiki/Bahrain","4,370"
"109","Malta","/wiki/Malta","4,288"
"110","Georgia","/wiki/Georgia_(country)","4,266"
"111","Honduras","/wiki/Honduras","3,982"
"112","Jamaica","/wiki/Jamaica","3,885"
"113","Senegal","/wiki/Senegal","3,839"
"114","Namibia","/wiki/Namibia","3,818"
"115","Turkmenistan","/wiki/Turkmenistan","3,765"
"116","Uganda","/wiki/Uganda","3,748"
"117","Congo, Republic of the","/wiki/Republic_of_the_Congo","3,562"
"118","Nicaragua","/wiki/Nicaragua","3,454"
"119","Zambia","/wiki/Zambia","3,418"
"120","Zimbabwe","/wiki/Zimbabwe","3,400"
"121","Cambodia","/wiki/Cambodia","3,388"
"122","Albania","/wiki/Albania","3,203"
"123","Korea, North","/wiki/North_Korea","3,200"
"124","Papua New Guinea","/wiki/Papua_New_Guinea","3,169"
"125","Macedonia","/wiki/Republic_of_Macedonia","3,063"
"126","Brunei","/wiki/Brunei","2,958"
"127","Gabon","/wiki/Gabon","2,917"
"128","Laos","/wiki/Laos","2,882"
"129","Mongolia","/wiki/Mongolia","2,868"
"130","Palestine","/wiki/State_of_Palestine","2,750"
"131","Mali","/wiki/Mali","2,571"
"132","Mozambique","/wiki/Mozambique","2,554"
"133","Mauritius","/wiki/Mauritius","2,478"
"134","Armenia","/wiki/Armenia","2,445"
"135","Burkina Faso","/wiki/Burkina_Faso","2,442"
"136","Equatorial Guinea","/wiki/Equatorial_Guinea","2,436"
"137","Moldova","/wiki/Moldova","2,297"
"138","Kyrgyzstan","/wiki/Kyrgyzstan","2,040"
"139","Kosovo","/wiki/Kosovo","2,009"
"140","Bahamas","/wiki/The_Bahamas","1,900"
"141","French Polynesia","/wiki/French_Polynesia","1,891"
"142","Rwanda","/wiki/Rwanda","1,865"
"143","Tajikistan","/wiki/Tajikistan","1,841"
"144","Yemen","/wiki/Yemen","1,766"
"145","Greenland","/wiki/Greenland","1,720"
"146","Niger","/wiki/Niger","1,715"
"147","Afghanistan","/wiki/Afghanistan","1,700"
"148","Chad","/wiki/Chad","1,626"
"149","Eritrea","/wiki/Eritrea","1,580"
"150","Haiti","/wiki/Haiti","1,563"
"151","Montenegro","/wiki/Montenegro","1,560"
"152","Benin","/wiki/Benin","1,500"
"153","Guinea","/wiki/Guinea","1,421"
"154","Fiji","/wiki/Fiji","1,232"
"155","US Virgin Islands","/wiki/United_States_Virgin_Islands","1,223"
"156","Barbados","/wiki/Barbados","1,200"
"157","Madagascar","/wiki/Madagascar","1,171"
"158","Guam","/wiki/Guam","1,147"
"159","Mauritania","/wiki/Mauritania","1,143"
"160","Togo","/wiki/Togo","1,140"
"161","Malawi","/wiki/Malawi","1,030"
"162","Andorra","/wiki/Andorra","1,029"
"163","Faroe Islands","/wiki/Faroe_Islands","1,025"
"164","New Caledonia","/wiki/New_Caledonia","996"
"165","Liechtenstein","/wiki/Liechtenstein","995"
"166","Isle of Man","/wiki/Isle_of_Man","965"
"167","Bermuda","/wiki/Bermuda","960"
"168","Maldives","/wiki/Maldives","960"
"169","Monaco","/wiki/Monaco","915"
"170","Guyana","/wiki/Guyana","900"
"171","Swaziland","/wiki/Swaziland","867"
"172","Cayman Islands","/wiki/Cayman_Islands","860"
"173","Lesotho","/wiki/Lesotho","836"
"174","Jersey","/wiki/Jersey","829"
"175","Aruba","/wiki/Aruba","697"
"176","Djibouti","/wiki/Djibouti","686"
"177","San Marino","/wiki/San_Marino","668"
"178","Bhutan","/wiki/Bhutan","640"
"179","Liberia","/wiki/Liberia","613"
"180","Guernsey","/wiki/Guernsey","564"
"181","Sierra Leone","/wiki/Sierra_Leone","558"
"182","Burundi","/wiki/Burundi","525"
"183","Belize","/wiki/Belize","500"
"184","Syria","/wiki/Syria","495"
"185","Seychelles","/wiki/Seychelles","487"
"186","Gibraltar","/wiki/Gibraltar","476"
"187","Suriname","/wiki/Suriname","470"
"188","South Sudan","/wiki/South_Sudan","437"
"189","Solomon Islands","/wiki/Solomon_Islands","422"
"190","Cabo Verde","/wiki/Cape_Verde","406"
"191","Saint Kitts and Nevis","/wiki/Saint_Kitts_and_Nevis","370"
"192","Vatican City","/wiki/Vatican_City","308"
"193","Timor-Leste","/wiki/East_Timor","300"
"194","British Virgin Islands","/wiki/British_Virgin_Islands","300"
"195","Antigua and Barbuda","/wiki/Antigua_and_Barbuda","279"
"196","Grenada","/wiki/Grenada","275"
"197","Northern Mariana Islands","/wiki/Northern_Mariana_Islands","246"
"198","American Samoa","/wiki/American_Samoa","241"
"199","Samoa","/wiki/Samoa","233"
"200","Gambia","/wiki/The_Gambia","232"
"201","Turks and Caicos Islands","/wiki/Turks_and_Caicos_Islands","226"
"202","Saint Vincent and the Grenadines","/wiki/Saint_Vincent_and_the_Grenadines","222"
"203","Micronesia, Federated States of","/wiki/Federated_States_of_Micronesia","214"
"204","Central African Republic","/wiki/Central_African_Republic","207"
"205","Kiribati","/wiki/Kiribati","198"
"206","Saint Lucia","/wiki/Saint_Lucia","185"
"207","Vanuatu","/wiki/Vanuatu","176"
"208","Guinea-Bissau","/wiki/Guinea-Bissau","171"
"209","Comoros","/wiki/Comoros","165"
"210","Dominica","/wiki/Dominica","148"
"211","Somalia","/wiki/Somalia","145"
"212","Tonga","/wiki/Tonga","133"
"213","Palau","/wiki/Palau","124"
"214","Marshall Islands","/wiki/Marshall_Islands","117"
"215","Sao Tome and Principe","/wiki/S%C3%A3o_Tom%C3%A9_and_Pr%C3%ADncipe","109"
"216","Anguilla","/wiki/Anguilla","95"
"217","Cook Islands","/wiki/Cook_Islands","87"
"218","Saint Pierre and Miquelon","/wiki/Saint_Pierre_and_Miquelon","70"
"219","Falkland Islands","/wiki/Falkland_Islands","67"
"220","Nauru","/wiki/Nauru","58"
"221","Tuvalu","/wiki/Tuvalu","43"
"222","Montserrat","/wiki/Montserrat","37"
"223","Niue","/wiki/Niue","15"
"224","Saint Helena and Dependencies","/wiki/Saint_Helena,_Ascension_and_Tristan_da_Cunha","9"
"225","Norfolk Island","/wiki/Norfolk_Island","5"
"226","Pitcairn Islands","/wiki/Pitcairn_Islands","1"
"227","Tokelau","/wiki/Tokelau",""
"228","Wallis and Futuna","/wiki/Wallis_and_Futuna",""
"-","Christmas Island","/wiki/Christmas_Island","-"
"-","Cocos (Keeling) Islands","/wiki/Cocos_(Keeling)_Islands","-"
"-","Svalbard","/wiki/Svalbard","-"
"-","Western Sahara","/wiki/Western_Sahara","-"
